      Source      Cruise     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_none  Min_none  Max_none   SD_none  Avg_draft Min_draft Max_draft  SD_draft
    USSUB-DG        1987   6110087   1987  105.0  105.0  105.0      4   86.47 -116.90   86.40   86.50 -121.50 -112.30     63     63143   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.52      0.00     27.75      3.20
    USSUB-DG        1987   6110088   1987  105.0  105.0  105.0      4   86.47 -126.67   86.40   86.50 -131.60 -121.73     69     69225   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.89      0.00     26.45      2.88
    USSUB-DG        1987   6110089   1987  105.0  105.0  105.0      4   86.34 -138.07   86.20   86.40 -141.70 -134.44     59     59678   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.60      0.00     30.62      3.06
    USSUB-DG        1987   6110090   1987  105.0  105.0  105.0      4   86.12 -146.22   85.90   86.20 -150.20 -142.23     73     73856   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.87      0.00     27.79      2.74
    USSUB-DG        1987   6110091   1987  105.0  105.0  105.0      4   85.55 -151.54   85.30   85.80 -152.30 -150.79     50     50847   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.55      0.27     28.41      2.53
    USSUB-DG        1987   6110092   1987  105.0  105.0  105.0      4   85.08 -153.06   84.90   85.30 -153.70 -152.41     56     56129   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.08      0.00     20.82      2.10
    USSUB-DG        1987   6110093   1987  105.0  105.0  105.0      4   84.75 -153.86   84.60   84.90 -154.30 -153.43     33     33577   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.31      0.00     19.82      2.51
    USSUB-DG        1987   6110094   1987  105.0  105.0  105.0      4   84.40 -154.57   84.20   84.60 -155.20 -153.95     49     49994   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.47      0.00     22.41      2.71
    USSUB-DG        1987   6110095   1987  105.0  105.0  105.0      4   83.95 -155.62   83.70   84.20 -156.00 -155.23     50     50004   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.24      0.00     59.24      5.42
    USSUB-DG        1987   6110096   1987  105.0  105.0  105.0      4   83.50 -156.31   83.30   83.70 -156.60 -156.02     50     50021   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.23      0.05     28.97      2.54
